transaction_id,amount,transaction_time,merchant_category,distance_from_home,is_fraud
TXN00213,94.69,23,4,5.06,0
TXN00214,80.8,4,5,2.6,0
TXN00215,65.05,1,3,10.25,0
TXN00216,60.2,3,2,2.9,0
TXN00217,22.21,10,2,4.19,0
TXN00218,13.9,22,2,29.43,0
TXN00219,9.32,12,2,9.45,0
TXN00220,1.91,10,4,1.08,0
TXN00221,126.51,4,5,12.28,0
TXN00222,9.28,8,3,13.33,0
TXN00223,137.18,21,3,5.99,0
TXN00224,7.01,20,2,18.26,0
TXN00225,7.66,0,3,8.95,0
TXN00226,26.46,8,5,4.08,0
TXN00227,82.19,20,2,4.06,0
TXN00228,26.39,10,2,6.27,0
TXN00229,33.78,16,3,0.33,0
TXN00230,122.95,21,1,6.9,0
TXN00231,28.14,23,1,4.5,0
TXN00232,44.45,21,2,0.13,0
TXN00233,55.46,6,1,32.46,0
TXN00234,9.05,21,4,7.66,0
TXN00235,11.2,6,1,3.71,0
TXN00236,26.32,18,3,16.08,0
TXN00237,22.49,16,5,4.74,0
TXN00238,91.57,18,2,3.48,0
TXN00239,63.6,17,2,7.65,0
TXN00240,33.8,5,3,1.69,0
TXN00241,11.04,22,3,4.67,0
TXN00242,16.79,13,2,5.25,0
TXN00243,2.29,17,5,5.24,0
TXN00244,1014.68,2,3,209.71,1
TXN00245,43.13,18,1,8.14,0
TXN00246,64.79,2,3,32.87,0
TXN00247,145.49,21,5,5.22,0
TXN00248,20.58,17,2,0.89,0
TXN00249,12.65,18,5,20.91,0
TXN00250,52.49,17,2,24.15,0
TXN00251,50.01,10,2,17.44,0
TXN00252,23.55,22,4,17.76,0
TXN00253,22.17,8,2,19.74,0
TXN00254,13.39,21,4,1.51,0
TXN00255,102.43,23,3,22.5,0
TXN00256,81.44,16,2,0.23,0
TXN00257,16.65,7,2,10.04,0
TXN00258,15.91,21,3,5.48,0
TXN00259,8.09,12,2,3.18,0
TXN00260,1.93,17,5,16.88,0
TXN00261,35.47,1,1,5.2,0
TXN00262,35.4,11,5,0.11,0
TXN00263,989.03,5,3,358.37,1
TXN00264,10.64,12,1,5.43,0
TXN00265,25.16,13,2,1.82,0
TXN00266,67.98,18,5,9.24,0
TXN00267,15.08,20,3,3.41,0
TXN00268,22.98,16,3,3.53,0
TXN00269,593.66,1,5,299.54,1
TXN00270,9.84,19,3,18.73,0
TXN00271,156.32,10,2,9.76,0
TXN00272,33.15,8,1,4.33,0
TXN00273,27.62,10,2,6.16,0
TXN00274,4.95,17,5,0.02,0
TXN00275,781.61,5,2,414.43,1
TXN00276,164.64,16,2,11.73,0
TXN00277,37.83,11,3,13.18,0
TXN00278,83.14,22,5,11.79,0
TXN00279,95.59,17,1,10.4,0
TXN00280,60.07,8,5,11.08,0
TXN00281,3.26,15,1,1.99,0
TXN00282,42.96,6,5,13.13,0
TXN00283,11.7,7,2,5.48,0
TXN00284,80.32,19,3,3.84,0
TXN00285,89.28,16,3,8.23,0
TXN00286,33.8,2,5,7.56,0
TXN00287,30.08,22,4,8.5,0
TXN00288,82.48,3,5,10.84,0
TXN00289,67.94,0,5,9.57,0
TXN00290,241.91,22,3,464.03,1
TXN00291,38.64,2,3,61.82,0
TXN00292,22.59,16,5,0.38,0
TXN00293,33.68,15,4,41.4,0
TXN00294,74.11,6,4,13.38,0
TXN00295,14.64,2,5,4.38,0
TXN00296,17.93,3,2,2.66,0
TXN00297,759.26,0,5,266.95,1
TXN00298,57.92,11,3,29.95,0
TXN00299,78.17,10,4,5.41,0
TXN00300,106.65,13,3,23.41,0
TXN00301,227.34,6,4,0.67,0
TXN00302,26.67,21,5,17.76,0
TXN00303,7.41,10,2,4.85,0
TXN00304,1462.7,2,5,448.3,1
TXN00305,132.38,16,5,3.01,0
TXN00306,37.21,17,1,1.67,0
TXN00307,85.6,5,5,2.53,0
TXN00308,39.5,8,4,8.68,0
TXN00309,5.8,8,3,3.19,0
TXN00310,33.38,2,1,19.12,0
TXN00311,2.8,14,1,8.0,0
TXN00312,5.55,23,4,4.66,0
TXN00313,1466.8,4,2,106.87,1
TXN00314,113.44,12,1,0.63,0
TXN00315,108.24,18,2,8.47,0
TXN00316,55.25,7,3,19.99,0
TXN00317,67.2,23,3,20.26,0
TXN00318,15.07,15,1,4.06,0
TXN00319,14.64,20,2,1.12,0
TXN00320,61.03,6,5,21.28,0
TXN00321,103.73,18,2,1.38,0
TXN00322,21.41,6,2,17.04,0
TXN00323,90.23,11,2,3.38,0
TXN00324,48.98,16,1,9.99,0
TXN00325,16.04,23,5,15.13,0
TXN00326,6.66,6,2,5.66,0
TXN00327,92.67,14,5,1.08,0
TXN00328,139.41,3,2,29.43,0
TXN00329,10.1,11,1,8.73,0
TXN00330,22.22,23,3,19.13,0
TXN00331,232.01,14,5,5.91,0
TXN00332,53.15,19,5,4.84,0
TXN00333,4.39,0,3,2.91,0
TXN00334,1.05,1,2,58.52,0
TXN00335,28.77,12,1,1.79,0
TXN00336,80.19,10,4,18.32,0
TXN00337,75.1,19,3,3.19,0
TXN00338,151.66,11,4,13.14,0
TXN00339,121.13,4,3,33.39,0
TXN00340,72.38,4,3,3.74,0
TXN00341,20.34,5,2,2.4,0
TXN00342,2.58,23,4,8.27,0
TXN00343,32.89,7,4,2.05,0
TXN00344,102.48,20,3,18.63,0
TXN00345,72.57,2,5,1.41,0
TXN00346,2.65,2,4,15.92,0
TXN00347,33.84,13,1,9.35,0
TXN00348,15.22,8,1,1.75,0
TXN00349,53.71,20,5,8.92,0
TXN00350,29.39,12,1,0.12,0
TXN00351,4.76,17,3,11.87,0
TXN00352,99.35,5,1,0.4,0
TXN00353,33.75,23,1,2.77,0
TXN00354,216.86,14,4,12.12,0
TXN00355,42.01,17,4,0.75,0
TXN00356,39.2,8,5,0.86,0
TXN00357,88.01,21,2,37.93,0
TXN00358,12.21,17,2,0.42,0
TXN00359,56.49,7,3,1.33,0
TXN00360,114.27,8,1,0.53,0
TXN00361,39.97,17,4,20.48,0
TXN00362,63.6,19,3,6.62,0
TXN00363,55.06,15,4,9.1,0
TXN00364,77.59,2,1,1.79,0
TXN00365,29.87,17,4,2.84,0
TXN00366,9.69,12,3,2.47,0
TXN00367,187.21,3,5,2.01,0
TXN00368,306.08,22,3,345.73,1
TXN00369,21.2,23,1,6.8,0
TXN00370,5.25,18,3,2.49,0
TXN00371,28.1,14,1,18.35,0
TXN00372,10.57,20,2,13.58,0
TXN00373,28.71,3,4,4.64,0
TXN00374,220.7,23,2,20.18,0
TXN00375,876.89,3,2,455.96,1
TXN00376,116.48,5,2,48.45,0
TXN00377,17.69,11,3,9.75,0
TXN00378,50.92,14,1,1.41,0
TXN00379,63.91,15,2,2.71,0
TXN00380,178.71,22,5,19.27,0
TXN00381,34.89,21,4,5.19,0
TXN00382,45.94,6,1,10.87,0
TXN00383,6.01,16,3,3.74,0
TXN00384,26.46,2,5,0.09,0
TXN00385,45.39,11,4,35.01,0
TXN00386,31.24,10,2,0.76,0
TXN00387,10.3,9,5,4.11,0
TXN00388,89.27,0,5,2.86,0
TXN00389,49.0,0,1,1.83,0
TXN00390,10.17,10,5,4.41,0
TXN00391,39.13,16,1,12.22,0
TXN00392,30.56,14,4,7.76,0
TXN00393,2.74,13,2,1.31,0
TXN00394,1428.18,0,3,198.29,1
TXN00395,36.39,13,4,1.61,0
TXN00396,216.74,23,3,0.05,0
TXN00397,152.63,17,5,20.24,0
TXN00398,31.32,14,3,6.71,0
TXN00399,55.96,19,5,1.55,0
TXN00400,141.52,22,2,2.09,0
TXN00401,66.62,5,5,33.06,0
TXN00402,15.74,0,2,4.69,0
TXN00403,1.88,17,1,17.77,0
TXN00404,100.98,16,4,1.2,0
TXN00405,1503.5,3,1,431.26,1
TXN00406,55.98,8,2,4.29,0
TXN00407,9.68,5,1,20.13,0
TXN00408,251.56,12,1,0.95,0
TXN00409,18.03,10,4,10.51,0
TXN00410,73.45,3,3,16.49,0
TXN00411,72.83,8,3,20.32,0
TXN00412,24.55,21,1,3.98,0
TXN00413,50.74,6,5,4.79,0
TXN00414,40.76,0,1,7.89,0
TXN00415,449.37,5,2,348.0,1
TXN00416,72.22,8,3,7.82,0
TXN00417,152.29,1,4,0.26,0
TXN00418,21.87,11,5,5.09,0
TXN00419,44.4,11,4,9.36,0
TXN00420,73.38,5,2,12.57,0
TXN00421,37.83,20,3,0.08,0
TXN00422,53.13,14,1,10.63,0
TXN00423,24.91,3,5,6.52,0
TXN00424,11.82,13,5,9.61,0
TXN00425,38.02,13,3,26.54,0
TXN00426,38.99,7,2,9.42,0
TXN00427,422.42,16,5,136.86,1
TXN00428,58.15,9,5,2.04,0
TXN00429,18.5,16,2,2.05,0
TXN00430,125.9,19,4,0.91,0
TXN00431,85.57,11,5,10.03,0
TXN00432,152.21,22,5,21.56,0
TXN00433,13.94,8,2,1.92,0
TXN00434,23.37,9,1,2.7,0
TXN00435,76.83,17,3,19.05,0
TXN00436,56.65,17,3,9.78,0
TXN00437,31.05,17,5,1.84,0
TXN00438,67.76,1,1,2.44,0
TXN00439,6.03,15,5,10.27,0
TXN00440,47.71,10,2,2.97,0
TXN00441,50.99,1,3,9.09,0
TXN00442,57.33,9,5,12.64,0
TXN00443,59.95,6,4,17.08,0
TXN00444,47.22,5,2,23.59,0
TXN00445,75.06,3,5,22.46,0
TXN00446,11.65,7,1,2.57,0
TXN00447,22.92,3,5,7.32,0
TXN00448,4.5,4,4,2.66,0
TXN00449,39.83,5,2,11.4,0
TXN00450,14.12,2,2,51.39,0
TXN00451,55.21,16,3,13.12,0
TXN00452,32.29,7,4,0.93,0
TXN00453,164.07,14,1,1.87,0
TXN00454,27.34,22,4,4.27,0
TXN00455,55.67,19,3,26.2,0
TXN00456,14.37,18,5,13.36,0
TXN00457,74.18,0,1,11.13,0
TXN00458,5.88,21,2,15.51,0
TXN00459,101.01,20,4,15.23,0
TXN00460,62.68,13,4,3.61,0
TXN00461,16.27,1,1,0.92,0
TXN00462,139.2,8,1,3.65,0
TXN00463,26.29,22,2,9.18,0
TXN00464,37.25,2,3,8.55,0
TXN00465,42.8,19,2,6.95,0
TXN00466,26.31,5,2,9.89,0
TXN00467,57.09,9,3,15.61,0
TXN00468,19.17,8,5,0.23,0
TXN00469,954.3,2,2,501.27,1
TXN00470,43.8,21,1,25.61,0
TXN00471,34.38,13,5,3.82,0
TXN00472,153.67,5,1,10.98,0
TXN00473,7.49,20,2,7.05,0
TXN00474,14.23,12,4,14.99,0
TXN00475,7.51,12,4,5.79,0
TXN00476,6.58,5,5,0.18,0
TXN00477,47.13,22,3,4.89,0
TXN00478,42.56,1,2,2.38,0
TXN00479,34.14,17,5,9.66,0
TXN00480,18.65,22,3,1.87,0
TXN00481,1103.98,13,3,330.08,1
TXN00482,51.15,7,1,2.65,0
TXN00483,13.47,19,4,7.49,0
TXN00484,28.76,4,4,5.19,0
TXN00485,54.08,2,3,5.35,0
TXN00486,88.88,4,5,14.67,0
TXN00487,1.55,1,3,5.42,0
TXN00488,79.11,20,2,11.42,0
TXN00489,11.52,4,1,3.91,0
TXN00490,90.88,12,5,2.22,0
TXN00491,4.34,3,1,1.16,0
TXN00492,40.7,20,4,3.09,0
TXN00493,1167.64,3,2,268.14,1
TXN00494,24.57,19,5,6.15,0
TXN00495,77.86,12,1,31.09,0
TXN00496,78.3,8,1,11.65,0
TXN00497,29.78,0,2,26.64,0
TXN00498,15.59,7,5,17.44,0
TXN00499,35.2,7,3,5.98,0
TXN00500,13.87,16,4,5.99,0
TXN00501,1192.35,4,4,75.93,1
TXN00502,5.43,10,1,0.75,0
TXN00503,4.7,23,1,31.35,0
TXN00504,67.88,13,4,4.3,0
TXN00505,75.51,6,3,2.05,0
TXN00506,1204.24,4,5,180.07,1
TXN00507,2.06,15,4,22.92,0
TXN00508,77.27,7,1,37.29,0
TXN00509,56.03,2,1,2.95,0
TXN00510,16.1,8,1,32.15,0
TXN00511,33.53,17,2,16.03,0
TXN00512,18.32,7,2,9.21,0
TXN00513,44.66,15,4,1.7,0
TXN00514,3.24,16,2,2.54,0
TXN00515,24.27,13,4,4.92,0
TXN00516,9.94,19,4,1.3,0
TXN00517,12.0,13,1,10.38,0
TXN00518,17.84,22,1,2.99,0
TXN00519,40.26,20,5,2.5,0
TXN00520,192.75,13,4,0.55,0
TXN00521,20.29,21,3,3.14,0
TXN00522,39.78,12,2,1.14,0
TXN00523,58.81,19,3,33.56,0
TXN00524,34.51,22,4,13.2,0
TXN00525,40.07,0,3,3.53,0
TXN00526,42.62,6,4,10.11,0
TXN00527,72.59,14,2,8.17,0
TXN00528,84.5,11,5,21.32,0
TXN00529,621.49,2,2,394.78,1
TXN00530,985.7,1,1,290.57,1
TXN00531,95.21,21,4,13.69,0
TXN00532,12.31,1,5,4.59,0
TXN00533,20.8,18,3,56.09,0
TXN00534,23.97,3,4,15.16,0
TXN00535,13.24,4,5,0.02,0
TXN00536,10.82,9,4,2.0,0
TXN00537,25.52,16,4,7.14,0
TXN00538,65.26,4,2,8.24,0
TXN00539,42.12,23,2,9.15,0
TXN00540,47.08,18,1,10.12,0
TXN00541,9.07,23,5,13.7,0
TXN00542,201.78,20,4,7.28,0
TXN00543,345.19,3,1,154.97,1
TXN00544,46.59,14,3,13.23,0
TXN00545,18.79,0,1,10.15,0
TXN00546,35.28,14,3,11.58,0
TXN00547,237.23,10,1,30.02,0
TXN00548,12.34,19,5,38.95,0
TXN00549,10.03,10,1,8.81,0
TXN00550,45.15,5,1,26.54,0
TXN00551,77.3,18,2,19.15,0
TXN00552,838.96,4,5,252.02,1
TXN00553,139.51,3,2,0.84,0
TXN00554,66.09,17,3,5.74,0
TXN00555,66.38,5,1,1.73,0
TXN00556,48.11,19,1,31.38,0
TXN00557,4.57,11,2,3.32,0
TXN00558,16.17,2,4,15.47,0
TXN00559,185.11,15,2,18.63,0
TXN00560,16.61,8,5,19.18,0
TXN00561,3.38,17,2,8.26,0
TXN00562,22.23,17,1,14.78,0
TXN00563,5.52,14,2,13.18,0
TXN00564,40.74,23,5,0.54,0
TXN00565,28.13,13,1,6.82,0
TXN00566,644.04,4,3,215.14,1
TXN00567,19.46,20,4,4.3,0
TXN00568,7.06,17,5,2.55,0
TXN00569,15.45,6,1,7.41,0
TXN00570,7.1,1,4,12.83,0
TXN00571,4.5,21,1,7.84,0
TXN00572,5.26,5,2,6.63,0
TXN00573,10.06,1,1,11.06,0
TXN00574,32.02,15,3,10.53,0
TXN00575,40.42,23,4,4.4,0
TXN00576,191.98,18,1,2.25,0
TXN00577,15.96,19,2,4.01,0
TXN00578,71.68,21,5,10.78,0
TXN00579,9.81,13,3,29.31,0
TXN00580,42.07,16,2,0.67,0
TXN00581,32.17,7,4,7.74,0
TXN00582,35.44,5,4,6.01,0
TXN00583,26.32,10,3,5.82,0
TXN00584,11.88,11,2,0.99,0
TXN00585,23.05,8,4,3.24,0
TXN00586,19.72,8,2,1.72,0
TXN00587,60.52,11,2,3.81,0
TXN00588,98.31,2,3,3.24,0
TXN00589,206.28,0,4,2.26,0
TXN00590,11.18,4,4,17.17,0
TXN00591,1264.46,5,3,298.75,1
TXN00592,171.75,12,5,11.02,0
TXN00593,51.35,3,4,21.36,0
TXN00594,28.89,22,3,11.61,0
TXN00595,5.88,3,1,17.31,0
TXN00596,12.77,4,3,2.08,0
TXN00597,98.66,19,2,1.17,0
TXN00598,72.27,10,2,17.24,0
TXN00599,31.74,20,2,17.11,0
TXN00600,106.94,15,5,1.2,0
TXN00601,5.56,0,5,5.45,0
TXN00602,118.88,18,2,13.82,0
TXN00603,53.66,15,1,18.42,0
TXN00604,32.87,14,3,10.06,0
TXN00605,7.75,15,2,3.93,0
TXN00606,58.97,14,1,10.65,0
TXN00607,240.83,22,3,11.85,0
TXN00608,632.07,5,5,344.26,1
TXN00609,140.28,11,1,14.53,0
TXN00610,78.66,12,2,10.52,0
TXN00611,104.66,22,3,1.18,0
TXN00612,30.62,5,4,4.81,0
TXN00613,7.9,18,3,5.49,0
TXN00614,3.15,23,2,33.89,0
TXN00615,7.82,18,3,17.49,0
TXN00616,61.08,19,5,32.92,0
TXN00617,65.85,22,1,3.31,0
TXN00618,104.08,13,5,7.78,0
TXN00619,6.08,8,1,6.33,0
TXN00620,18.92,10,5,3.53,0
TXN00621,18.83,8,4,0.67,0
TXN00622,748.41,1,1,499.07,1
TXN00623,50.2,15,5,18.21,0
TXN00624,17.79,11,3,3.12,0
TXN00625,78.83,20,5,0.66,0
TXN00626,412.01,2,4,460.55,1
TXN00627,56.31,16,2,21.12,0
TXN00628,43.41,12,4,24.15,0
TXN00629,32.22,14,1,4.17,0
TXN00630,10.01,21,5,9.98,0
TXN00631,45.79,18,4,11.28,0
TXN00632,8.06,3,4,6.69,0
TXN00633,1532.8,1,2,177.43,1
TXN00634,27.13,21,1,0.03,0
TXN00635,3.03,5,2,23.79,0
TXN00636,14.65,9,1,5.99,0
TXN00637,849.6,2,3,321.82,1
TXN00638,39.5,16,1,2.47,0
TXN00639,2.87,0,2,6.21,0
TXN00640,29.86,9,3,0.45,0
TXN00641,17.27,23,5,3.35,0
TXN00642,86.24,20,3,21.19,0
TXN00643,43.76,6,5,11.25,0
TXN00644,3.29,10,5,26.51,0
TXN00645,10.03,7,4,13.09,0
TXN00646,107.96,20,5,9.36,0
TXN00647,19.51,12,2,31.02,0
TXN00648,87.07,7,1,10.12,0
TXN00649,3.62,12,1,9.26,0
TXN00650,852.12,1,4,220.91,1
TXN00651,7.45,7,4,23.06,0
TXN00652,26.9,18,1,28.43,0
TXN00653,56.22,8,2,4.49,0
TXN00654,46.03,9,2,1.5,0
TXN00655,7.15,6,4,1.89,0
TXN00656,51.79,20,2,7.55,0
TXN00657,89.31,7,2,0.12,0
TXN00658,978.77,2,3,76.34,1
TXN00659,7.56,16,1,13.06,0
TXN00660,53.82,20,3,5.62,0
TXN00661,56.88,22,1,3.66,0
TXN00662,78.79,11,2,4.85,0
TXN00663,30.9,11,1,5.64,0
TXN00664,20.2,15,2,4.62,0
TXN00665,2.39,0,2,1.83,0
TXN00666,29.15,3,5,22.08,0
TXN00667,22.22,19,3,0.26,0
TXN00668,52.9,2,3,4.88,0
TXN00669,79.44,10,1,1.07,0
TXN00670,94.91,7,2,18.43,0
TXN00671,44.4,5,1,1.11,0
TXN00672,10.16,17,5,2.59,0
TXN00673,190.61,2,3,1.46,0
TXN00674,6.23,13,3,4.91,0
TXN00675,9.72,17,3,1.59,0
TXN00676,34.46,9,5,18.05,0
TXN00677,24.13,4,3,21.93,0
TXN00678,47.18,8,1,0.92,0
TXN00679,47.68,19,1,4.87,0
TXN00680,21.81,3,5,1.67,0
TXN00681,1325.08,1,5,262.55,1
TXN00682,19.0,12,3,1.95,0
TXN00683,36.41,11,5,33.94,0
TXN00684,422.75,18,1,258.51,1
TXN00685,50.21,10,4,5.14,0
TXN00686,255.55,17,1,15.73,0
TXN00687,31.94,6,5,1.6,0
TXN00688,96.72,4,4,23.75,0
TXN00689,8.1,20,2,12.81,0
TXN00690,39.11,11,5,13.7,0
TXN00691,40.85,4,1,11.42,0
TXN00692,32.44,11,1,29.78,0
TXN00693,36.96,11,4,14.05,0
TXN00694,34.86,22,2,6.76,0
